Region,Province,Municipality,2016-Registered_Voters,2016-Registered_Male,2016-Registered_Female,2016-Registered_17-19,2016-Registered_20-24,2016-Registered_25-29,2016-Registered_30-34,2016-Registered_35-39,2016-Registered_40-44,2016-Registered_45-49,2016-Registered_50-54,2016-Registered_55-59,2016-Registered_60-64,2016-Registered_65-Above,2016-Registered_Literacy,2016-Registered_Indigenous_People,2016-Registered_PWD,2016-Registered_Single,2016-Registered_Married,2016-Registered_Widow_ER,2016-Registered_Legally_Separated,Location,2019-Established_Precincts,2019-Clustered_Precincts,2019-Registered_Voters,2019-Registered_Male,2019-Registered_Female,2019-Actual_Voters,2019-Actual_Voters_Male,2019-Actual_Voters_Female,2019-Total_Voters_Turnout,2019-Male_Voters_Turnout,2019-Female_Voters_Turnout
REGION X,MISAMIS ORIENTAL,GINGOOG CITY,75130.0,38040.0,37090.0,3831.0,10782.0,9997.0,8167.0,7726.0,6647.0,6399.0,5844.0,5002.0,3838.0,6897.0,95.08,0.0,215.0,38488.0,34670.0,1841.0,131.0,"GINGOOG CITY, MISAMIS ORIENTAL, REGION X",480,128,86072,43576,42496,70368,35562,34806,81.75,81.61,81.9
REGION X,MISAMIS ORIENTAL,GITAGUM,13077.0,6554.0,6523.0,563.0,1763.0,1805.0,1436.0,1313.0,1289.0,1143.0,1024.0,790.0,595.0,1356.0,99.73,0.0,37.0,6097.0,6631.0,317.0,32.0,"GITAGUM, MISAMIS ORIENTAL, REGION X",85,19,13966,7015,6951,11560,5820,5740,82.77,82.97,82.58
REGION X,MISAMIS ORIENTAL,INITAO,20082.0,9932.0,10150.0,763.0,2857.0,2637.0,2092.0,2006.0,1914.0,1808.0,1621.0,1305.0,1094.0,1985.0,99.04,0.0,231.0,9289.0,10259.0,512.0,22.0,"INITAO, MISAMIS ORIENTAL, REGION X",157,30,21820,10807,11013,17122,8459,8663,78.47,78.27,78.66
REGION X,MISAMIS ORIENTAL,JASAAN,32459.0,15840.0,16619.0,1478.0,4976.0,4847.0,3810.0,3467.0,2831.0,2639.0,2304.0,2052.0,1580.0,2475.0,99.18,0.0,101.0,16921.0,14787.0,709.0,42.0,"JASAAN, MISAMIS ORIENTAL, REGION X",214,44,36867,18148,18719,30736,15162,15574,83.37,83.55,83.2
REGION X,MISAMIS ORIENTAL,KINOGUITAN,10181.0,5199.0,4982.0,523.0,1645.0,1521.0,1177.0,963.0,798.0,849.0,727.0,660.0,476.0,842.0,99.51,0.0,54.0,5697.0,4237.0,234.0,13.0,"KINOGUITAN, MISAMIS ORIENTAL, REGION X",72,19,11151,5705,5446,9232,4729,4503,82.79,82.89,82.68
REGION X,MISAMIS ORIENTAL,LAGONGLONG,15388.0,7703.0,7685.0,810.0,2406.0,2155.0,1882.0,1430.0,1334.0,1239.0,1149.0,889.0,702.0,1392.0,98.73,0.0,82.0,8315.0,6700.0,334.0,39.0,"LAGONGLONG, MISAMIS ORIENTAL, REGION X",108,23,17113,8605,8508,14034,7011,7023,82.01,81.48,82.55
REGION X,MISAMIS ORIENTAL,LAGUINDINGAN,17378.0,8830.0,8548.0,762.0,2507.0,2392.0,1880.0,1766.0,1576.0,1604.0,1397.0,1059.0,870.0,1565.0,99.56,1.0,38.0,8519.0,8411.0,375.0,73.0,"LAGUINDINGAN, MISAMIS ORIENTAL, REGION X",143,28,19499,9934,9565,16700,8528,8172,85.65,85.85,85.44
REGION X,MISAMIS ORIENTAL,LIBERTAD,9191.0,4581.0,4610.0,493.0,1236.0,1299.0,960.0,957.0,858.0,760.0,707.0,552.0,462.0,907.0,99.13,0.0,56.0,4448.0,4503.0,235.0,5.0,"LIBERTAD, MISAMIS ORIENTAL, REGION X",65,15,10410,5219,5191,8816,4397,4419,84.69,84.25,85.13
REGION X,MISAMIS ORIENTAL,LUGAIT,12319.0,5974.0,6345.0,495.0,1845.0,1716.0,1379.0,1229.0,1171.0,1059.0,894.0,826.0,603.0,1102.0,99.64,0.0,43.0,5822.0,6169.0,307.0,21.0,"LUGAIT, MISAMIS ORIENTAL, REGION X",77,18,13916,6740,7176,11477,5505,5972,82.47,81.68,83.22
REGION X,MISAMIS ORIENTAL,MAGSAYSAY (LINUGOS),20804.0,10725.0,10079.0,1170.0,3189.0,2900.0,2211.0,2099.0,1789.0,1754.0,1509.0,1312.0,1021.0,1850.0,98.76,0.0,286.0,11185.0,9205.0,381.0,33.0,"MAGSAYSAY (LINUGOS), MISAMIS ORIENTAL, REGION X",130,37,22578,11638,10940,17829,9182,8647,78.97,78.9,79.04
REGION X,MISAMIS ORIENTAL,MANTICAO,18629.0,9143.0,9486.0,814.0,2920.0,2591.0,2016.0,1877.0,1549.0,1576.0,1398.0,1171.0,944.0,1773.0,99.66,0.0,101.0,9149.0,9002.0,452.0,26.0,"MANTICAO, MISAMIS ORIENTAL, REGION X",137,30,21081,10446,10635,16915,8355,8560,80.24,79.98,80.49
REGION X,MISAMIS ORIENTAL,MEDINA,22277.0,11163.0,11114.0,1171.0,3125.0,3078.0,2433.0,2300.0,2069.0,1891.0,1602.0,1384.0,1092.0,2132.0,99.8,0.0,60.0,12503.0,9271.0,467.0,36.0,"MEDINA, MISAMIS ORIENTAL, REGION X",143,34,24717,12401,12316,19910,10016,9894,80.55,80.77,80.33
